work_unit_id,scenario_id,foundation,shift_tier,model_key,model_id,input_language,scenario_version,action_correct,actor_correct,affected_correct,consequence_correct,correct_count_0_4,scenario_all_4_correct,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd
S24__es__adapted__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"D, A, B, C",392,7,399,0.000651
S24__es__adapted__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"D,A,B,C",503,10,513,0.001659
S24__es__literal__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"D,A,B,C",620,10,630,0.00201
S24__ta__adapted__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"D,A,B,C",1891,10,1901,0.005823
S24__ja__literal__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"D, A, B, C",503,7,510,0.0008175
S24__ja__adapted__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,"D, A, B, C",571,7,578,0.0014975
S24__ja__adapted__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"D, A, B, C",423,7,430,0.0006975
S24__ja__adapted__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,D、A、B、C,665,10,675,0.002145
S24__ar__literal__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,D، A، B، C,435,7,442,0.0011575
S24__ja__literal__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,D、A、B、C,797,10,807,0.002541
S24__ar__adapted__chatgpt,S24,Sanctity/Degradation,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,D، A، B، C,370,7,377,0.000995
S24__ar__literal__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,D، A، B، C,822,10,832,0.002616
S24__ar__literal__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"D, A, B, C",450,7,457,0.000738
S24__ar__adapted__claude,S24,Sanctity/Degradation,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,"D, A, B, C",680,10,690,0.00219
S26__hi__literal__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"A, B, C, D",486,7,493,0.001285
S24__ar__adapted__gemini_flash,S24,Sanctity/Degradation,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"D, A, B, C",380,7,387,0.000633
S26__hi__literal__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"A, B, C, D",1071,10,1081,0.003363
S26__hi__adapted__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"A, B, C, D",484,7,491,0.00128
S26__hi__literal__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"A, B, C, D",402,7,409,0.000666
S26__bn__literal__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,0,0,1,1,2,0,"B, C, C, D",439,7,446,0.0011675
S26__hi__adapted__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,0,1,1,3,0,"B, B, C, D",398,7,405,0.00066
S26__hi__adapted__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"A, B, C, D",1068,10,1078,0.003354
S26__bn__literal__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"A, B, C, D",279,7,286,0.0004815
S26__bn__adapted__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,0,1,1,1,3,0,"A, C, C, D",443,7,450,0.0011775
S26__ta__literal__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,0,0,1,1,2,0,"B,C,C,D",468,4,472,0.00121
S26__bn__literal__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,bn,literal,0,1,1,1,3,0,"A, C, C, D",1070,10,1080,0.00336
S26__bn__adapted__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,bn,adapted,0,1,1,1,3,0,"A, C, C, D",1082,10,1092,0.003396
S26__ta__adapted__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,0,0,1,1,2,0,"B,C,C,D",475,4,479,0.0012275
S26__ta__literal__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"A,B,C,D",1142,10,1152,0.003576
S26__ta__literal__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"A, B, C, D",356,7,363,0.000597
S26__es__literal__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,0,1,1,3,0,"B,B,C,D",330,4,334,0.000865
S26__ta__adapted__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"A, B, C, D",366,7,373,0.000612
S26__ta__adapted__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"A,B,C,D",1176,10,1186,0.003678
S26__es__adapted__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"A,B,C,D",338,4,342,0.000885
S26__es__literal__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,es,literal,1,0,1,1,3,0,"B, B, C, D",327,7,334,0.0005535
S26__bn__adapted__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"A, B, C, D",283,7,290,0.0004875
S26__es__literal__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"A,B,C,D",451,10,461,0.001503
S26__ja__literal__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,0,0,1,1,2,0,B、C、C、D,482,7,489,0.001275
S26__es__adapted__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"A, B, C, D",335,7,342,0.0005655
S26__ja__adapted__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,0,0,1,1,2,0,B、C、C、D,490,7,497,0.001295
S26__es__adapted__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"A,B,C,D",460,10,470,0.00153
S26__ja__literal__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"A, B, C, D",353,7,360,0.0005925
S26__ja__adapted__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"A, B, C, D",358,7,365,0.0006
S26__ja__literal__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,A、B、C、D,565,10,575,0.001845
S26__ar__literal__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,0,1,1,3,0,B، B، C، D,360,7,367,0.00097
S26__ar__literal__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,A، B، C، D,700,10,710,0.00225
S26__ar__adapted__chatgpt,S26,Care/Harm,high,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,0,1,1,1,3,0,A، C، C، D,360,7,367,0.00097
S26__ja__adapted__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,A、B、C、D,579,10,589,0.001887
S26__ar__literal__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,ar,literal,1,0,1,1,3,0,"B, B, C, D",371,7,378,0.0006195
S28__hi__literal__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,0,1,1,3,0,"B, B, C, D",369,7,376,0.0009925
S26__ar__adapted__gemini_flash,S26,Care/Harm,high,gemini_flash,google/gemini-3.5-flash,ar,adapted,0,1,1,1,3,0,"A, C, C, D",370,7,377,0.000618
S28__hi__literal__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,hi,literal,1,0,1,1,3,0,"B, B, C, D",304,7,311,0.000519
S28__hi__adapted__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"A, B, C, D",373,7,380,0.0010025
S26__ar__adapted__claude,S26,Care/Harm,high,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,A، B، C، D,706,10,716,0.002268
S28__hi__adapted__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,0,1,1,3,0,"B, B, C, D",306,7,313,0.000522
S28__bn__literal__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,0,1,1,3,0,"B, B, C, D",401,7,408,0.0010725
S28__bn__adapted__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,0,1,1,3,0,"B, B, C, D",403,7,410,0.0010775
S28__bn__literal__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,bn,literal,1,0,1,1,3,0,"B, B, C, D",276,7,283,0.000477
S28__hi__adapted__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"A, B, C, D",781,10,791,0.002493
S28__hi__literal__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,hi,literal,1,0,1,1,3,0,"B, B, C, D",780,10,790,0.00249
S28__bn__literal__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,bn,literal,1,0,1,1,3,0,"B, B, C, D",991,10,1001,0.003123
S28__bn__adapted__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,0,1,1,3,0,"B, B, C, D",278,7,285,0.00048
S28__ta__literal__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,0,1,1,3,0,"B,B,C,D",456,4,460,0.00118
S28__bn__adapted__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"A, B, C, D",985,10,995,0.003105
S28__ta__literal__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ta,literal,1,0,1,1,3,0,"B, B, C, D",359,7,366,0.0006015
S28__ta__adapted__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,0,1,1,3,0,"B,B,C,D",454,4,458,0.001175
S28__ta__literal__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ta,literal,1,0,1,1,3,0,"B,B,C,D",1071,10,1081,0.003363
S28__ta__adapted__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"A,B,C,D",1065,10,1075,0.003345
S28__es__literal__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,0,1,1,3,0,"B,B,C,D",312,4,316,0.00082
S28__ta__adapted__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"A, B, C, D",358,7,365,0.0006
S28__es__literal__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,es,literal,1,0,1,1,3,0,"B, B, C, D",309,7,316,0.0005265
S28__es__adapted__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,0,1,1,3,0,"B,B,C,D",313,4,317,0.0008225
S28__es__literal__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,es,literal,1,0,1,1,3,0,"B,B,C,D",395,10,405,0.001335
S28__es__adapted__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,es,adapted,1,0,1,1,3,0,"B,B,C,D",395,10,405,0.001335
S28__es__adapted__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,es,adapted,1,0,1,1,3,0,"B, B, C, D",310,7,317,0.000528
S28__ja__literal__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,0,1,1,3,0,B、B、C、D,429,7,436,0.0011425
S28__ja__adapted__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,A、B、C、D,424,7,431,0.00113
S28__ja__literal__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ja,literal,1,0,1,1,3,0,"B, B, C, D",309,7,316,0.0005265
S28__ja__literal__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ja,literal,1,0,1,1,3,0,B、B、C、D,487,10,497,0.001611
S28__ja__adapted__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,A、B、C、D,479,10,489,0.001587
S28__ar__literal__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,0,1,1,3,0,B، B، C، D,346,7,353,0.000935
S28__ja__adapted__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"A, B, C, D",305,7,312,0.0005205
S28__ar__adapted__chatgpt,S28,Fairness/Cheating,high,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,0,1,1,3,0,B، B، C، D,346,7,353,0.000935
S28__ar__literal__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ar,literal,1,0,1,1,3,0,"B, B, C, D",360,7,367,0.000603
S28__ar__literal__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ar,literal,1,0,1,1,3,0,B، B، C، D,667,10,677,0.002151
S28__ar__adapted__gemini_flash,S28,Fairness/Cheating,high,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"A, B, C, D",361,7,368,0.0006045
S33__hi__literal__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"D, A, B, C",376,7,383,0.00101
S33__hi__adapted__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"D, A, B, C",379,7,386,0.0010175
S33__hi__literal__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"D, A, B, C",303,7,310,0.0005175
S33__hi__literal__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"D, A, B, C",844,10,854,0.002682
S33__bn__literal__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,0,1,1,3,0,"A, A, B, C",393,7,400,0.0010525
S28__ar__adapted__claude,S28,Fairness/Cheating,high,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,0,1,1,3,0,B، B، C، D,666,10,676,0.002148
S33__hi__adapted__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"D, A, B, C",307,7,314,0.0005235
S33__bn__adapted__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"D, A, B, C",391,7,398,0.0010475
S33__bn__literal__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"D, A, B, C",284,7,291,0.000489
S33__hi__adapted__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"D, A, B, C",859,10,869,0.002727
S33__bn__adapted__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"D, A, B, C",285,7,292,0.0004905
S33__ta__literal__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"D,A,B,C",460,4,464,0.00119
S33__ta__adapted__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"D,A,B,C",457,4,461,0.0011825
S33__bn__literal__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,0,3,0,"D, A, B, A",992,10,1002,0.003126
S33__ta__literal__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"D, A, B, C",339,7,346,0.0005715
S33__bn__adapted__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"D, A, B, C",1000,10,1010,0.00315
S33__es__literal__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"D,A,B,C",288,4,292,0.00076
S33__ta__adapted__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"D, A, B, C",339,7,346,0.0005715
S33__ta__literal__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,0,3,0,"D,A,B,B",1104,10,1114,0.003462
S33__es__literal__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"D,A,B,C",285,7,292,0.0004905
S33__ta__adapted__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"D,A,B,C",1104,10,1114,0.003462
S33__es__literal__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"D,A,B,C",390,10,400,0.00132
S33__es__adapted__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"D, A, B, C",288,7,295,0.000495
S33__ja__literal__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,D、A、B、C,409,7,416,0.0010925
S33__es__adapted__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"D,A,B,C",292,4,296,0.00077
S33__ja__adapted__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,D、A、B、C,409,7,416,0.0010925
S33__ja__literal__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"D, A, B, C",291,7,298,0.0004995
S33__es__adapted__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"D,A,B,C",393,10,403,0.001329
S33__ja__adapted__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"D, A, B, C",292,7,299,0.000501
S33__ja__literal__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,D、A、B、C,459,10,469,0.001527
S33__ar__literal__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,D، A، B، C,314,7,321,0.000855
S33__ar__adapted__chatgpt,S33,Authority/Subversion,low,chatgpt,openai/gpt-4o-2024-11-20,ar,adapted,1,1,1,1,4,1,"D, A, B, C",315,7,322,0.0008575
S33__ar__literal__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"D, A, B, C",316,7,323,0.000537
S33__ar__literal__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,D، A، B، C,605,10,615,0.001965
S33__ja__adapted__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,D、A、B、C,460,10,470,0.00153
S36__hi__literal__chatgpt,S36,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"D, A, B, C",361,7,368,0.0009725
S33__ar__adapted__gemini_flash,S33,Authority/Subversion,low,gemini_flash,google/gemini-3.5-flash,ar,adapted,1,1,1,1,4,1,"D, A, B, C",321,7,328,0.0005445
S36__hi__literal__gemini_flash,S36,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"D, A, B, C",309,7,316,0.0005265
S36__hi__adapted__chatgpt,S36,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"D, A, B, C",361,7,368,0.0009725
S33__ar__adapted__claude,S33,Authority/Subversion,low,claude,anthropic/claude-sonnet-4.6,ar,adapted,1,1,1,1,4,1,D، A، B، C,616,10,626,0.001998
S36__hi__literal__claude,S36,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"D, A, B, C",810,10,820,0.00258
S36__hi__adapted__gemini_flash,S36,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"D, A, B, C",306,7,313,0.000522
S36__bn__literal__chatgpt,S36,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,1,1,1,4,1,"D, A, B, C",398,7,405,0.001065
S36__hi__adapted__claude,S36,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"D, A, B, C",803,10,813,0.002559
S36__bn__literal__gemini_flash,S36,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"D, A, B, C",271,7,278,0.0004695
S36__bn__adapted__chatgpt,S36,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"D, A, B, C",398,7,405,0.001065
S36__bn__literal__claude,S36,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"D, A, B, C",974,10,984,0.003072
S36__bn__adapted__gemini_flash,S36,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"D, A, B, C",270,7,277,0.000468
S36__ta__literal__chatgpt,S36,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"D,A,B,C",438,4,442,0.001135
S36__ta__literal__claude,S36,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ta,literal,1,1,1,1,4,1,"D,A,B,C",1002,10,1012,0.003156
S36__bn__adapted__claude,S36,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"D, A, B, C",971,10,981,0.003063
S36__ta__literal__gemini_flash,S36,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"D, A, B, C",341,7,348,0.0005745
S36__ta__adapted__chatgpt,S36,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"D,A,B,C",432,4,436,0.00112
S36__es__literal__chatgpt,S36,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"D,A,B,C",301,4,305,0.0007925
S36__ta__adapted__gemini_flash,S36,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"D, A, B, C",340,7,347,0.000573
S36__ta__adapted__claude,S36,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"D,A,B,C",996,10,1006,0.003138
S36__es__adapted__chatgpt,S36,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,1,1,1,1,4,1,"D,A,B,C",300,4,304,0.00079
S36__es__literal__gemini_flash,S36,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"D, A, B, C",297,7,304,0.0005085
S36__ja__literal__chatgpt,S36,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ja,literal,1,1,1,1,4,1,D、A、B、C,475,7,482,0.0012575
S36__es__adapted__gemini_flash,S36,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,es,adapted,1,1,1,1,4,1,"D,A,B,C",296,7,303,0.000507
S36__es__literal__claude,S36,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,es,literal,1,1,1,1,4,1,"D,A,B,C",403,10,413,0.001359
S36__es__adapted__claude,S36,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,es,adapted,1,1,1,1,4,1,"D,A,B,C",403,10,413,0.001359
S36__ja__literal__gemini_flash,S36,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ja,literal,1,1,1,1,4,1,"D, A, B, C",342,7,349,0.000576
S36__ja__adapted__chatgpt,S36,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ja,adapted,1,1,1,1,4,1,D、A、B、C,473,7,480,0.0012525
S36__ar__literal__chatgpt,S36,Fairness/Cheating,low,chatgpt,openai/gpt-4o-2024-11-20,ar,literal,1,1,1,1,4,1,"D, A, B, C",334,7,341,0.000905
S36__ja__adapted__gemini_flash,S36,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ja,adapted,1,1,1,1,4,1,"D, A, B, C",342,7,349,0.000576
S36__ja__literal__claude,S36,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ja,literal,1,1,1,1,4,1,D、A、B、C,513,10,523,0.001689
S36__ar__literal__claude,S36,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ar,literal,1,1,1,1,4,1,D، A، B، C,636,10,646,0.002058
S36__ja__adapted__claude,S36,Fairness/Cheating,low,claude,anthropic/claude-sonnet-4.6,ja,adapted,1,1,1,1,4,1,D、A、B、C,507,10,517,0.001671
S36__ar__literal__gemini_flash,S36,Fairness/Cheating,low,gemini_flash,google/gemini-3.5-flash,ar,literal,1,1,1,1,4,1,"D, A, B, C",344,7,351,0.000579
S37__hi__literal__chatgpt,S37,Loyalty/Betrayal,high,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"A, B, C, D",364,7,371,0.00098
